,name,PA,PM,(dommages Neutre),Portée,Force,Sagesse,Intelligence,Puissance,Échangeable :,-special spell-,Attitude,Vitalité,% Critique,Dommages Feu,Dommages Air,Dommages Terre,Dommages Eau,Dommages Neutre,% Résistance Terre,% Résistance Eau,% Résistance Feu,% Résistance Neutre,% Résistance Air,Dommages,Prospection,Résistances Eau,Résistances Air,Résistances Feu,Chance,Agilité,Résistances Terre,Résistances Neutre,Initiative,(dommages Air),(vol Neutre),(dommages Terre),Dommages Poussée,Invocation,(dommages Feu),(vol Eau),Soins,Arme de chasse,(dommages Eau),Fuite,Invocations,Tacle,Retrait PM,Dommages Pièges,Puissance (pièges),(vol Air),Renvoie dommages,Résistances Critiques,(vol Feu),(soins Feu),(vol Terre),Dommages Critiques,Pods,Esquive PM,Esquive PA,Résistances Poussée,Retrait PA,Dommage Terre,Dommage Feu,Dommage Air,Réduit le coût en PA du sort de,Augmente la portée maximale du sort de,Augmente le nombre de lancers maximal par tour du sort de,Rend la portée du sort modifiable,Augmente les Critiques du sort de%,Désactive le lancer en ligne du sort,Désactive la ligne de vue du sort,Réduit l'intervalle de relance du sort de,Augmente le nombre de lancers maximal par cible du sort de,Augmente les Dommages fixes du sort de,Titre :,Quelqu'un vous suit !,Lié au personnage,% Dommages mêlée,% Résistance mêlée,% Résistance distance,% Dommages distance,% Dommages d'armes,% Dommages aux sorts,Craft coopératif impossible.,Utilisations restantes : /,% Résistance aux armes,(dommages Meilleur élément),Ajouter un sort temporaire,ankama_id,type,level,image_urls
10,Ceinture Meulante,,,,,,50.0,,,,,,300.0,,,,,,,,,,,,10.0,,15.0,15.0,15.0,,,15.0,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2807.0,"{'name': 'Ceinture', 'id': 58}",129.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/10051.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/10051-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/10051-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/10051-800.png'}"
11,Dague Régah,,,,,40.0,,,,,,,,,,,,,,,,10.0,,10.0,10.0,15.0,,,,,40.0,,,,20.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3650.0,"{'name': 'Dague', 'id': 93}",119.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/5034.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/5034-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/5034-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/5034-800.png'}"
12,Bâton de Marie Aigue,,,30.0,,,35.0,50.0,10.0,,,,,10.0,,,,,,,,,,5.0,,10.0,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3652.0,"{'name': 'Bâton', 'id': 125}",109.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/4030.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/4030-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/4030-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/4030-800.png'}"
13,Griffe Rose,,,,,80.0,35.0,,,,,,100.0,3.0,,,5.0,,5.0,,,,,,,,,,,,,,,,,,50.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4241.0,"{'name': 'Épée', 'id': 80}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/6041.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/6041-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/6041-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/6041-800.png'}"
14,Amulette du Renouveau,1.0,,,1.0,50.0,40.0,,,,,,70.0,,,,,,,5.0,,,,,10.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6443.0,"{'name': 'Amulette', 'id': 33}",118.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/1057.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/1057-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/1057-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/1057-800.png'}"
15,Ceinture de l'Amant d'Ha,,,,,,50.0,,,,,,100.0,,,,,,,5.0,5.0,5.0,,,8.0,13.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6450.0,"{'name': 'Ceinture', 'id': 58}",117.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/10057.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/10057-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/10057-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/10057-800.png'}"
16,Arc Chitecte,,,33.0,1.0,45.0,35.0,,,,,,,,,,,,,,,,,5.0,10.0,10.0,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6452.0,"{'name': 'Arc', 'id': 39}",111.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/2030.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/2030-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/2030-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/2030-800.png'}"
17,La Feuille de Printemps,1.0,,,2.0,,,,,,,,70.0,,,,,,,,5.0,5.0,,,10.0,15.0,,,,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6461.0,"{'name': 'Amulette', 'id': 33}",123.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/1062.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/1062-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/1062-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/1062-800.png'}"
18,Chapeau du Mineur Sombre,,,,1.0,,40.0,,,,,,,,,,,,,5.0,5.0,5.0,,,5.0,15.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6477.0,"{'name': 'Chapeau', 'id': 27}",103.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/16090.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/16090-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/16090-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/16090-800.png'}"
19,Dora Bora,,,,,80.0,60.0,80.0,,,,,,,,,,,,5.0,,,5.0,5.0,10.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6481.0,"{'name': 'Chapeau', 'id': 27}",120.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/16061.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/16061-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/16061-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/16061-800.png'}"
20,Casque du Bwork de Bronze,,,,,,40.0,50.0,,,,,200.0,,,,,,,,,,,,,25.0,,,20.0,50.0,,,20.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6483.0,"{'name': 'Chapeau', 'id': 27}",144.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/16091.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/16091-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/16091-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/16091-800.png'}"
21,Arc du Chafer Archer,,,14.0,1.0,,40.0,,,,,,,,,,,,,,,,,,8.0,15.0,,,,40.0,40.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6485.0,"{'name': 'Arc', 'id': 39}",115.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/2039.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/2039-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/2039-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/2039-800.png'}"
22,Baguette d'Elya Wood,,,11.0,1.0,,40.0,40.0,,,,,,,,,,,,,5.0,,,,10.0,10.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6494.0,"{'name': 'Baguette', 'id': 65}",117.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/3039.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/3039-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/3039-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/3039-800.png'}"
23,Baguette du Chêne Mou,,,,,,50.0,50.0,,,,,250.0,,,,,,,-6.0,7.0,7.0,,-6.0,,,,,,50.0,,,,200.0,,,,,,25.0,15.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6495.0,"{'name': 'Baguette', 'id': 65}",171.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/3042.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/3042-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/3042-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/3042-800.png'}"
24,Marteau Réhadaure,,,,1.0,,30.0,,,,,,100.0,,,,,,,,,,,,5.0,,,,,60.0,,,,,,,,,1.0,15.0,,,,15.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6505.0,"{'name': 'Marteau', 'id': 42}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/7037.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/7037-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/7037-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/7037-800.png'}"
25,Marteau R'Ticolis,,,42.0,1.0,,35.0,,,,,,,,,,,,,,,5.0,,,9.0,5.0,,,,,,,,,,6.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6509.0,"{'name': 'Marteau', 'id': 42}",120.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/7040.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/7040-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/7040-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/7040-800.png'}"
26,Marteau Kahr,,,42.0,,,35.0,,,,,,60.0,,,,,,,,5.0,5.0,,,,10.0,8.0,8.0,8.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6510.0,"{'name': 'Marteau', 'id': 42}",117.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/7041.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/7041-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/7041-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/7041-800.png'}"
27,Marteau Ridhe,,,46.0,,50.0,,50.0,15.0,,,,,,,,,,,,5.0,5.0,,,,10.0,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6511.0,"{'name': 'Marteau', 'id': 42}",114.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/7042.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/7042-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/7042-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/7042-800.png'}"
28,Dagues R'Hoh,,,11.0,1.0,,30.0,,15.0,,,,80.0,,,,,,,,,,,,,10.0,,,,,50.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6516.0,"{'name': 'Dague', 'id': 93}",121.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/5041.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/5041-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/5041-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/5041-800.png'}"
29,Amrothiline,,,23.0,,,30.0,40.0,15.0,,,,80.0,,,,,,,,,,,5.0,,10.0,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6518.0,"{'name': 'Baguette', 'id': 65}",113.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/3044.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/3044-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/3044-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/3044-800.png'}"
30,Kelinobranche,,,30.0,,50.0,40.0,,,,,,80.0,,,,,,,,,,5.0,,10.0,10.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6521.0,"{'name': 'Bâton', 'id': 125}",129.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/4038.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/4038-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/4038-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/4038-800.png'}"
31,La Racine Cinati,,,,1.0,50.0,,50.0,,,,,80.0,,,,,,,,,,,,10.0,15.0,,,,,,,,,,,15.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6522.0,"{'name': 'Bâton', 'id': 125}",116.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/4039.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/4039-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/4039-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/4039-800.png'}"
32,La Racine Hagogue,,,30.0,1.0,30.0,35.0,,,,,,80.0,,,,,,,,,,,,10.0,,,,,,,,,250.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6523.0,"{'name': 'Bâton', 'id': 125}",120.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/4040.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/4040-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/4040-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/4040-800.png'}"
33,Pelle Hikule,,,43.0,,,30.0,,15.0,,,,80.0,,,,,,,,,,,,10.0,15.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6535.0,"{'name': 'Pelle', 'id': 52}",121.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/8036.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/8036-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/8036-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/8036-800.png'}"
34,Pelle du Mineur Sombre,,,21.0,,,30.0,,,,,,80.0,8.0,,,,,,,,,,,,15.0,,,,50.0,,,,400.0,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6536.0,"{'name': 'Pelle', 'id': 52}",118.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/8034.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/8034-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/8034-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/8034-800.png'}"
35,Lorsotheuses,1.0,,,,70.0,,,,,,,70.0,3.0,,,,,,,,,,,,,,,,,40.0,,,,15.0,,15.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6713.0,"{'name': 'Dague', 'id': 93}",100.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/5034.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/5034-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/5034-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/5034-800.png'}"
36,Fourbamulette,1.0,,,,30.0,20.0,,,,,,100.0,4.0,,,6.0,6.0,6.0,,,,7.0,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6742.0,"{'name': 'Amulette', 'id': 33}",103.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/1069.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/1069-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/1069-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/1069-800.png'}"
37,Fourballiance,,,,,30.0,20.0,,,,,,100.0,,,,4.0,4.0,4.0,,,,,,,,,7.0,7.0,30.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6743.0,"{'name': 'Anneau', 'id': 17}",104.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/9060.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/9060-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/9060-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/9060-800.png'}"
38,Fourbabottes,,1.0,,,,,45.0,,,,,100.0,3.0,6.0,6.0,,,,,7.0,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6744.0,"{'name': 'Bottes', 'id': 45}",104.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/11047.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/11047-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/11047-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/11047-800.png'}"
39,Ceinture Fourbissante,,,,,35.0,30.0,,,,,,120.0,4.0,,,6.0,6.0,6.0,,,,,7.0,,,,,,45.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6745.0,"{'name': 'Ceinture', 'id': 58}",103.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/10062.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/10062-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/10062-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/10062-800.png'}"
40,Fourbasse-Ton,,,16.0,,45.0,25.0,,,,,,100.0,,,,6.0,6.0,6.0,,,7.0,,,,,,,,35.0,,,,,,,,,1.0,,,,,12.0,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6762.0,"{'name': 'Lance', 'id': 111}",102.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/4044.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/4044-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/4044-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/4044-800.png'}"
41,Fourbacapa,,,,,,30.0,35.0,,,,,120.0,,6.0,6.0,,,,7.0,,,,,,,,,,,45.0,,,,,,,,1.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6763.0,"{'name': 'Cape', 'id': 43}",101.0,"{'icon': 'https://api.dofusdu.de/dofus2/img/item/17061.png', 'sd': 'https://api.dofusdu.de/dofus2/img/item/17061-200.png', 'hq': 'https://api.dofusdu.de/dofus2/img/item/17061-400.png', 'hd': 'https://api.dofusdu.de/dofus2/img/item/17061-800.png'}"
